meterid,datetime,Actual_Reading,Predicted_Normal,Difference,Theft_Detected
1000,2010-06-01 00:00:00,0.021,0.15577511904761907,0.13477511904761907,1
1000,2010-06-01 00:30:00,0.021,0.06487149999999998,0.04387149999999998,1
1000,2010-06-01 01:00:00,0.077,0.06973595238095237,-0.007264047619047628,0
1000,2010-06-01 01:30:00,0.091,0.03542618253968251,-0.05557381746031749,0
1000,2010-06-01 02:00:00,0.021,0.04480685714285714,0.02380685714285714,0
1000,2010-06-01 02:30:00,0.021,0.043025095238095216,0.022025095238095215,0
1000,2010-06-01 03:00:00,0.05,0.04570650000000001,-0.004293499999999992,0
1000,2010-06-01 03:30:00,0.1119999999999999,0.05998399639249635,-0.05201600360750355,0
1000,2010-06-01 04:00:00,0.032,0.02644363203463204,-0.005556367965367962,0
1000,2010-06-01 04:30:00,0.021,0.024592595238095247,0.0035925952380952454,0
1000,2010-06-01 05:00:00,0.021,0.06180995238095238,0.04080995238095238,1
1000,2010-06-01 05:30:00,0.091,0.06250766666666666,-0.02849233333333334,0
1000,2010-06-01 06:00:00,0.073,0.023794,-0.049206,0
1000,2010-06-01 06:30:00,0.02,0.842496785714286,0.822496785714286,1
1000,2010-06-01 07:00:00,1.01,0.49373852380952366,-0.5162614761904764,0
1000,2010-06-01 07:30:00,2.725,1.0455760952380952,-1.6794239047619048,0
1000,2010-06-01 08:00:00,0.111,0.41296819047619054,0.30196819047619056,1
1000,2010-06-01 08:30:00,0.044,0.03184606349206351,-0.012153936507936489,0
1000,2010-06-01 09:00:00,0.022,0.07067309090909091,0.04867309090909091,1
1000,2010-06-01 09:30:00,0.023,0.06861684126984127,0.04561684126984127,1
1000,2010-06-01 10:00:00,0.081,0.05044259523809526,-0.030557404761904744,0
1000,2010-06-01 10:30:00,0.072,0.04357614285714285,-0.028423857142857147,0
1000,2010-06-01 11:00:00,0.022,0.04264599999999999,0.02064599999999999,0
1000,2010-06-01 11:30:00,0.022,0.046972269841269815,0.024972269841269816,0
1000,2010-06-01 12:00:00,0.051,0.07178995238095238,0.020789952380952388,0
1000,2010-06-01 12:30:00,0.11,0.07583226984126981,-0.03416773015873019,0
1000,2010-06-01 13:00:00,0.023,0.04936923809523809,0.02636923809523809,0
1000,2010-06-01 13:30:00,0.022,0.051111666666666666,0.029111666666666668,1
1000,2010-06-01 14:00:00,0.022,0.06358157142857142,0.04158157142857142,1
1000,2010-06-01 14:30:00,0.108,0.0615205873015873,-0.0464794126984127,0
1000,2010-06-01 15:00:00,0.044,0.03683198701298702,-0.00716801298701298,0
1000,2010-06-01 15:30:00,0.022,0.04619216305916303,0.02419216305916303,0
1000,2010-06-01 16:00:00,0.022,0.05941823809523809,0.037418238095238095,1
1000,2010-06-01 16:30:00,0.09,0.035403746031746036,-0.05459625396825396,0
1000,2010-06-01 17:00:00,0.063,0.06852834126984128,0.00552834126984128,0
1000,2010-06-01 17:30:00,0.022,0.05496823015873015,0.03296823015873015,1
